MEDIA_CN;MEDIA_CH;MEDIA_LP;MEDIA_MT;MEDIA_RED;TIPO;INSE
432.73;515.82;453.31;408.1;488.12;2;1
426.63;499.51;432.12;404.97;488.65;2;1
510.83;569.86;535.81;452.9;590.00;1;2
456.4;532.93;471.26;433.73;534.61;2;1
427.77;510.64;447.16;419.44;454.56;2;1
435.9;527.55;461.85;415.83;537.97;2;1
545.47;618.46;550.53;550.42;678.33;1;2
449.89;540.88;483.32;443.75;554.18;2;1
438.65;509.75;456.27;412.55;488.85;2;1
431.71;504.67;434.92;416.51;483.00;2;1
433.46;502.85;453.46;415.84;505.31;2;1
438.29;510.17;443.39;401.91;458.57;2;1
446.28;526.58;472.07;428.45;534.92;1;1
440.06;514.58;460.65;417.84;488.29;2;1
484.48;563.93;512.05;455.72;594.39;2;1
628;675.64;609.83;723.67;778.26;1;2
469.2;543.23;500.52;439.04;580.93;2;1
465.29;550.58;500.31;452.1;558.10;2;1
439.79;525.18;460.26;392.33;498.26;2;1
526.38;600.91;540.03;598.05;597.98;1;1
583.88;651.72;591.11;704.14;673.10;1;1
529.25;607.72;562.57;528.47;630.88;1;2
526.1;602.07;546.39;520.31;621.08;1;2
585.69;636.11;587.62;595.67;722.27;1;2
642.55;664.06;605.58;686.87;781.11;1;2
514.43;611.03;561.92;542.23;596.92;1;2
541.64;617.9;574.41;512.02;630.40;1;2
575.22;633.06;579.79;616.05;661.93;1;2
481.38;542.65;495.85;462.72;508.10;1;1
507.21;585.69;540.07;490.77;604.89;1;2
462.9;559.96;517.91;463.71;520.71;1;2
491;568.91;521.33;485.23;540.00;1;1
534.03;605.52;558;549.2;655.09;2;2
460.76;560.27;514.22;444.18;602.45;2;1
537.77;614.62;568.67;541.12;665.06;1;2
464.8;544;501.82;443.79;545.90;2;1
463.72;562.01;499.96;464;556.92;1;1
536.21;602.22;545.63;519.33;614.48;1;2
499.25;596.87;535.24;490.12;596.36;1;1
544.91;627.28;582.09;583.56;610.00;1;2
512.85;598.75;551.38;503.16;640.80;1;2
498.39;578;533.71;482.24;623.75;1;2
471.9;545.9;499.18;436.86;566.06;1;1
462.99;568.77;507.53;427.52;580.65;1;1
487.37;578.67;528.59;452.78;614.42;1;1
599.87;659.16;612.12;651;722.81;1;2
622.39;660.93;606.76;679.01;761.32;1;2
482.55;556.1;506.4;469.97;609.25;2;1
444.94;520.3;468.79;417.04;511.50;2;1
478.64;559.89;515.08;463.99;557.14;2;1
483.72;572.67;523.47;494.02;614.08;1;1
510.9;606.68;552.76;513.29;614.08;1;1
510.39;595.25;541.07;505.55;613.21;1;1
478.52;569.94;509.49;475.85;576.00;1;1
471.62;566.69;527.63;465.37;583.59;1;1
469.36;546.67;493.52;463.05;571.98;2;1
473.37;546.23;495.67;458.63;543.80;2;1
536.89;606.52;547.38;550.2;656.97;1;2
473.71;548.5;500.26;422.32;549.60;1;1
498.49;589.61;533.47;490.59;606.51;1;1
521.68;608.08;558.41;519.55;642.20;2;2
